Game Log Initialized for Game 2
Start Time: 20-Dec-2024 (01:12:00.139445)

20-Dec-2024 (01:12:00.147951): Player 3 made move: discards a tile: 萬-8
20-Dec-2024 (01:12:00.152956): Player 3 made move: discards a tile: 筒-2
20-Dec-2024 (01:12:00.158986): Player 3 made move: discards a tile: 風-西
20-Dec-2024 (01:12:00.166986): Player 3 made move: discards a tile: 索-5
20-Dec-2024 (01:12:00.181945): Player 3 made move: discards a tile: 筒-8
20-Dec-2024 (01:12:00.198986): Player 3 made move: show flower 花-秋
20-Dec-2024 (01:12:00.198986): Player 3 made move: discards a tile: 萬-9
20-Dec-2024 (01:12:00.239963): Player 3 made move: discards a tile: 萬-2
20-Dec-2024 (01:12:00.292487): Player 3 made move: discards a tile: 萬-4
20-Dec-2024 (01:12:00.378099): Player 3 made move: discards a tile: 筒-9
20-Dec-2024 (01:12:00.496694): Player 3 made move: discards a tile: 索-1
20-Dec-2024 (01:12:00.819453): Player 3 made move: discards a tile: 索-6
20-Dec-2024 (01:12:01.108103): Player 3 made move: discards a tile: 萬-3
20-Dec-2024 (01:12:01.993501): Player 3 made move: show flower 花-蘭
20-Dec-2024 (01:12:01.993501): Player 3 made move: discards a tile: 索-6
20-Dec-2024 (01:12:03.062954): Player 3 made move: discards a tile: 箭-發
20-Dec-2024 (01:12:04.841798): Player 3 made move: discards a tile: 索-4
20-Dec-2024 (01:12:07.336911): Player 3 made move: discards a tile: 萬-6
20-Dec-2024 (01:12:10.409287): Player 3 made move: discards a tile: 萬-1
20-Dec-2024 (01:12:16.554835): Player 3 made move: discards a tile: 萬-4
 (01:12:00.147951): Handling Flower Tiles...
20-Dec-2024 (01:12:00.148951): Player 1's turn
20-Dec-2024 (01:12:00.148951): Handling Flower Tiles...
20-Dec-2024 (01:12:00.151958): Player 2's turn
20-Dec-2024 (01:12:00.151958): Handling Flower Tiles...
20-Dec-2024 (01:12:00.151958): Player 3's turn
20-Dec-2024 (01:12:00.151958): Handling Flower Tiles...
20-Dec-2024 (01:12:00.152956): Player 4's turn
20-Dec-2024 (01:12:00.152956): Handling Flower Tiles...
20-Dec-2024 (01:12:00.153958): Player 1's turn
20-Dec-2024 (01:12:00.153958): Handling Flower Tiles...
20-Dec-2024 (01:12:00.158986): Player 2's turn
20-Dec-2024 (01:12:00.158986): Handling Flower Tiles...
20-Dec-2024 (01:12:00.158986): Player 3's turn
20-Dec-2024 (01:12:00.158986): Handling Flower Tiles...
20-Dec-2024 (01:12:00.159987): Player 4's turn
20-Dec-2024 (01:12:00.159987): Handling Flower Tiles...
20-Dec-2024 (01:12:00.159987): Player 1's turn
20-Dec-2024 (01:12:00.159987): Handling Flower Tiles...
20-Dec-2024 (01:12:00.165985): Player 2's turn
20-Dec-2024 (01:12:00.165985): Handling Flower Tiles...
20-Dec-2024 (01:12:00.166986): Player 3's turn
20-Dec-2024 (01:12:00.166986): Handling Flower Tiles...
20-Dec-2024 (01:12:00.166986): Player 4 Card(suit='索', rank=5)!
20-Dec-2024 (01:12:00.166986): Handling Flower Tiles...
20-Dec-2024 (01:12:00.167986): Player 4's turn
20-Dec-2024 (01:12:00.167986): Handling Flower Tiles...
20-Dec-2024 (01:12:00.168985): Player 1's turn
20-Dec-2024 (01:12:00.168985): Handling Flower Tiles...
